a433-microservices-item-db-1  | 2023-02-17T04:14:08.575+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
a433-microservices-item-db-1  | 2023-02-17T04:14:08.661+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
a433-microservices-item-db-1  | 2023-02-17T04:14:08.661+0000 I CONTROL  [signalProcessingThread] now exiting
a433-microservices-item-db-1  | 2023-02-17T04:14:08.661+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=18b2fd4618c7
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1  | 2023-02-17T04:14:44.088+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2023-02-17T04:14:44.090+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
a433-microservices-item-db-1  | 2023-02-17T04:14:44.090+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1380M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1  | 2023-02-17T04:14:45.002+0000 I STORAGE  [initandlisten] WiredTiger message [1676607285:2719][1:0x7f1443602a40], txn-recover: Main recovery loop: starting at 5/4736
a433-microservices-item-db-1  | 2023-02-17T04:14:45.131+0000 I STORAGE  [initandlisten] WiredTiger message [1676607285:131502][1:0x7f1443602a40], txn-recover: Recovering log 5 through 6
a433-microservices-item-db-1  | 2023-02-17T04:14:45.210+0000 I STORAGE  [initandlisten] WiredTiger message [1676607285:210091][1:0x7f1443602a40], txn-recover: Recovering log 6 through 6
a433-microservices-item-db-1  | 2023-02-17T04:14:45.278+0000 I STORAGE  [initandlisten] WiredTiger message [1676607285:278125][1:0x7f1443602a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1  | 2023-02-17T04:14:45.305+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-17T04:14:45.305+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1  | 2023-02-17T04:14:45.305+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1  | 2023-02-17T04:14:45.305+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-17T04:14:45.306+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-17T04:14:45.306+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1  | 2023-02-17T04:14:45.306+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1  | 2023-02-17T04:14:45.306+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-17T04:14:45.306+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/defrag is 'always'.
a433-microservices-item-db-1  | 2023-02-17T04:14:45.306+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1  | 2023-02-17T04:14:45.306+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-17T04:14:45.311+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1  | 2023-02-17T04:14:45.311+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1  | 2023-02-17T04:14:45.312+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1  | 2023-02-17T04:14:45.312+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1  | 2023-02-17T04:14:46.060+0000 I NETWORK  [listener] connection accepted from 172.18.0.2:39880 #1 (1 connection now open)
a433-microservices-item-db-1  | 2023-02-17T04:14:46.072+0000 I NETWORK  [conn1] received client metadata from 172.18.0.2:39880 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "3.10.0-1160.83.1.el7.x86_64" }, platform: "Node.js v14.21.2, LE, mongodb-core: 2.1.20" }
a433-microservices-item-app-1  | 
